Trial,Reef,Treatment,T6.comparison,Egg.count,Recollection
1,1,Low,Low,7938,4
1,2,Medium,Medium,1670,4
1,3,Low,Low,11320,8
1,4,High,High,3054,8
1,5,Medium,Medium,9800,7
1,6,High,High,5097,5
1,7,Medium,Medium,7349,7
1,8,Low,Low,3587,5
1,9,High,High,2669,4
1,10,Low,Low,0,2
1,11,Medium,Medium,2187,0
1,12,High,High,7130,3
1,13,Low,Low,2243,3
1,14,Medium,Medium,451,3
1,15,High,High,0,1
1,16,Low,Low,557,3
1,17,Medium,Medium,2892,3
1,18,High,High,1379,3
2,1,Medium,Medium,0,2
2,2,Low,Low,5173,2
2,3,High,High,1130,1
2,4,Medium,Medium,0,3
2,5,High,High,5937,6
2,6,Low,Low,426,2
2,7,Medium,Medium,5917,2
2,8,Low,Low,0,7
2,9,High,High,2252,6
2,10,Low,Low,4592,5
2,11,High,High,729,5
2,12,Medium,Medium,4286,7
2,13,Low,Low,0,1
2,14,Medium,Medium,49,0
2,15,High,High,4320,3
2,16,Low,Low,6278,2
2,17,High,High,2398,6
2,18,Medium,Medium,3291,2
3,1,Low,Low,1637,4
3,2,High,High,4106,10
3,3,Medium,Medium,5227,9
3,4,High,High,4281,9
3,5,Medium,Medium,1635,8
3,6,Low,Low,5601,10
3,7,Medium,Medium,0,11
3,8,High,High,0,5
3,9,Low,Low,4248,7
3,10,High,High,1403,6
3,11,Low,Low,5133,5
3,12,Medium,Medium,3440,3
3,13,Low,Low,805,4
3,14,High,High,4250,6
3,15,Low,Low,6033,6
3,16,Medium,Medium,1825,7
3,17,High,High,5139,5
3,18,Medium,Medium,4408,6
4,1,Low,Low,8352,1
4,2,High,High,16333,3
4,3,Medium,Medium,6761,2
4,4,High,High,7904,1
4,5,Medium,Medium,2668,2
4,6,Low,Low,13967,3
4,7,Medium,Medium,595,2
4,8,High,High,11994,3
4,9,Low,Low,11575,2
4,10,Medium,Medium,12122,4
4,11,Low,Low,22407,15
4,12,High,High,24053,13
4,13,Low,Low,31385,13
4,14,Medium,Medium,34304,18
4,15,Low,Low,23966,9
4,16,High,High,20372,9
4,17,Medium,Medium,29465,17
4,18,High,High,13813,5
5,1,High,High,14839,4
5,2,Low,Low,19497,10
5,3,Medium,Medium,19401,7
5,4,Low,Low,23522,5
5,5,Medium,Medium,25867,7
5,6,High,High,15784,3
5,7,Medium,Medium,15751,9
5,8,Low,Low,19230,7
5,9,High,High,8339,3
5,10,Medium,Medium,8302,5
5,11,Low,Low,12008,6
5,12,High,High,7237,0
5,13,Low,Low,3245,0
5,14,Medium,Medium,10786,5
5,15,High,High,17279,10
5,16,Medium,Medium,12804,6
5,17,Low,Low,16509,5
5,18,High,High,10085,7
6,1,Low,Low,1723,1
6,2,High,Uncaged,4780,1
6,3,Medium,Medium,2794,5
6,4,Low,Low,997,1
6,5,High,Uncaged,5437,3
6,6,Medium,Medium,1796,6
6,7,High,High,1538,5
6,8,High,Uncaged,5018,6
6,9,Low,Low,3824,5
6,10,High,High,5309,4
6,11,Medium,Medium,0,1
6,12,High,Uncaged,948,1
6,13,Low,Low,844,3
6,14,Medium,Medium,1016,1
6,15,High,High,1676,4
6,16,Low,Low,4080,3
6,17,High,High,1453,2
6,18,Medium,Medium,5926,2
6,19,High,Uncaged,1470,3
6,20,High,High,3514,4
