Trial,Reef,Treatment,Egg.count,Density
1,1,Low,7938,9
1,2,Medium,1670,9
1,3,Low,11320,10
1,4,High,3054,9
1,5,Medium,9800,7
1,6,High,5097,13
1,7,Medium,7349,9
1,8,Low,3587,12
1,9,High,2669,10
1,10,Low,0,11
1,11,Medium,2187,11
1,12,High,7130,13
1,13,Low,2243,16
1,14,Medium,451,10
1,15,High,0,13
1,16,Low,557,13
1,17,Medium,2892,12
1,18,High,1379,11
2,1,Medium,0,11
2,2,Low,5173,11
2,3,High,1130,7
2,4,Medium,0,13
2,5,High,5937,11
2,6,Low,426,10
2,7,Medium,5917,10
2,8,Low,0,10
2,9,High,2252,9
2,10,Low,4592,11
2,11,High,729,8
2,12,Medium,4286,12
2,13,Low,0,9
2,14,Medium,49,9
2,15,High,4320,9
2,16,Low,6278,10
2,17,High,2398,6
2,18,Medium,3291,3
3,1,Low,1637,9
3,2,High,4106,8
3,3,Medium,5227,13
3,4,High,4281,10
3,5,Medium,1635,11
3,6,Low,5601,11
3,7,Medium,0,15
3,8,High,0,8
3,9,Low,4248,11
3,10,High,1403,9
3,11,Low,5133,10
3,12,Medium,3440,9
3,13,Low,805,10
3,14,High,4250,10
3,15,Low,6033,12
3,16,Medium,1825,11
3,17,High,5139,7
3,18,Medium,4408,12
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
