reef,trial,treatment,male,female,total,prop.male,prop.female,final.sex.ratio,norm.sex.ratio,avg.fem.growth,avg.male.growth,avg.total.growth
1,4,low,1,0,1,1.00,0.00,NA,NA,NA,4.00,4.00
2,4,high,0,3,3,0.00,1.00,NA,NA,3.00,NA,3.00
3,4,medium,1,1,2,0.50,0.50,1.00,0.5,5.00,4.00,4.50
4,4,high,0,0,0,NA,NA,NA,NA,NA,NA,NA
5,4,medium,0,2,2,0.00,1.00,NA,NA,3.00,NA,3.00
6,4,low,0,3,3,0.00,1.00,NA,NA,3.00,NA,3.00
7,4,medium,1,0,1,1.00,0.00,NA,NA,NA,3.00,3.00
8,4,high,1,1,2,0.50,0.50,1.00,0.5,3.00,3.00,3.00
9,4,low,0,1,1,0.00,1.00,NA,NA,0.00,NA,0.00
10,4,medium,1,3,4,0.25,0.75,0.33,0.083333333,2.00,2.00,2.00
11,4,low,5,10,15,0.33,0.67,0.50,0.033333333,2.30,4.60,3.07
12,4,high,3,10,13,0.23,0.77,0.30,0.023076923,2.10,2.67,2.23
13,4,low,1,11,12,0.08,0.92,0.09,0.007575758,2.82,7.00,3.17
14,4,medium,4,14,18,0.22,0.78,0.29,0.015873016,2.07,3.50,2.39
15,4,low,4,5,9,0.44,0.56,0.80,0.088888889,2.20,3.25,2.67
16,4,high,1,7,8,0.13,0.88,0.14,0.017857143,3.00,0.00,2.63
17,4,medium,5,12,17,0.29,0.71,0.42,0.024509804,2.08,2.40,2.18
18,4,high,2,2,4,0.50,0.50,1.00,0.25,2.00,4.00,3.00
1,5,high,2,2,4,0.50,0.50,1.00,0.25,0.00,1.00,0.67
2,5,low,7,2,9,0.78,0.22,3.50,0.388888889,2.00,2.50,2.11
3,5,medium,6,1,7,0.86,0.14,6.00,0.857142857,2.50,2.00,2.43
4,5,low,3,2,5,0.60,0.40,1.50,0.3,2.33,1.50,2.00
5,5,medium,4,2,6,0.67,0.33,2.00,0.333333333,1.25,2.50,1.67
6,5,high,2,0,2,1.00,0.00,NA,NA,1.00,NA,1.00
7,5,medium,6,3,9,0.67,0.33,2.00,0.222222222,3.17,3.33,3.22
8,5,low,4,2,6,0.67,0.33,2.00,0.333333333,1.33,5.00,2.25
9,5,high,2,1,3,0.67,0.33,2.00,0.666666667,2.00,2.00,2.00
10,5,medium,2,3,5,0.40,0.60,0.67,0.133333333,1.50,1.67,1.60
11,5,low,3,3,6,0.50,0.50,1.00,0.166666667,2.00,1.50,1.75
12,5,high,0,0,0,NA,NA,NA,NA,NA,NA,NA
13,5,low,0,0,0,NA,NA,NA,NA,NA,NA,NA
14,5,medium,3,1,4,0.75,0.25,3.00,0.75,2.50,6.00,3.67
15,5,high,4,4,8,0.50,0.50,1.00,0.125,1.00,2.67,1.71
16,5,medium,4,1,5,0.80,0.20,4.00,0.8,1.00,NA,1.00
17,5,low,4,1,5,0.80,0.20,4.00,0.8,1.75,1.00,1.60
18,5,high,3,3,6,0.50,0.50,1.00,0.166666667,2.50,3.67,3.20
