Trial,Treatment,Reef,contain.predator,sublethal,lethal
1,Low,1,0,0,0
1,Low,3,0,0,0
1,Low,8,0,0,0
1,Low,10,0.166666667,0,0
1,Low,13,0.25,0,0
1,Low,16,0.166666667,0,0
2,Low,2,0.208333333,0,0
2,Low,6,0.291666667,0,0
2,Low,8,0.041666667,0,0
2,Low,10,0.15625,0,0
2,Low,13,0.111111111,0,0
2,Low,16,0,0,0
3,Low,11,0,0,0
3,Low,13,0.083333333,0,0
3,Low,15,0,0,0
4,Low,15,0.180555556,0,0
4,Low,4,0.142857143,0,0
4,Low,8,0.039473684,0,0
5,Low,11,0.208333333,0,0
5,Low,13,0.078125,0,0
5,Low,17,0,0,0
1,Medium,2,0,0,0
1,Medium,5,0,0,0
1,Medium,7,0.0625,0,0
1,Medium,11,0.333333333,0.083333333,0
1,Medium,14,0.125,0.125,0
1,Medium,17,0.083333333,0,0
2,Medium,1,0.270833333,0.020833333,0
2,Medium,4,0.208333333,0,0
2,Medium,7,0.25,0,0
2,Medium,12,0.0625,0,0
2,Medium,14,0.111111111,0.027777778,0
2,Medium,18,0.15,0.1,0
3,Medium,12,0.333333333,0.166666667,0
3,Medium,16,0.113636364,0.022727273,0
3,Medium,18,0.136363636,0.022727273,0
4,Medium,17,0.107142857,0,0
5,Medium,5,0.25,0.075,0
5,Medium,7,0.222222222,0.027777778,0
5,Medium,10,0.173076923,0.038461538,0
5,Medium,16,0.039473684,0,0
1,High,4,0,0,0
1,High,6,0,0,0
1,High,9,0.25,0.166666667,0.083333333
1,High,12,0.583333333,0.333333333,0.166666667
1,High,15,0.083333333,0.083333333,0
1,High,18,0.125,0.125,0.125
2,High,3,0.416666667,0.041666667,0
2,High,5,0.458333333,0.125,0
2,High,9,0,0,0
2,High,11,0.125,0.0625,0
2,High,15,0,0,0
2,High,17,0.15,0.05,0.05
3,High,10,0.3,0.05,0.05
3,High,14,0.0625,0.0625,0
3,High,17,0.227272727,0.136363636,0.068181818
4,High,18,0.279411765,0.073529412,0.014705882
5,High,6,0.325,0.075,0.025
5,High,9,0.1375,0.0625,0.025
5,High,12,0.175,0.025,0
5,High,15,0.1625,0.025,0
5,High,18,0.027777778,0,0
6,High,7,0.25,0.016666667,0.016666667
6,High,10,0.142857143,0.017857143,0
6,High,17,0.025,0.025,0.025
6,High,20,0.125,0.1,0.075
6,Control,2,0.25,0.016666667,0
6,Control,8,0.25,0.083333333,0.05
6,Control,12,0.166666667,0.020833333,0.020833333
6,Control,19,0.229166667,0.083333333,0.020833333
